Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    68788     0.00     0.00  FancyInputStream::read_bit()
  0.00      0.00     0.00    23226     0.00     0.00  FancyInputStream::good() const
  0.00      0.00     0.00    23225     0.00     0.00  FancyOutputStream::write_byte(unsigned char const&)
  0.00      0.00     0.00    23225     0.00     0.00  HCTree::decode(FancyInputStream&) const
  0.00      0.00     0.00     8716     0.00     0.00  FancyInputStream::read_byte()
  0.00      0.00     0.00     6639     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::__normal_iterator(HCNode** const&)
  0.00      0.00     0.00     6386     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator*() const
  0.00      0.00     0.00     5468     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator+(long) const
  0.00      0.00     0.00     3024     0.00     0.00  std::remove_reference<HCNode*&>::type&& std::move<HCNode*&>(HCNode*&)
  0.00      0.00     0.00     1624     0.00     0.00  HCNodePtrComp::operator()(HCNode*&, HCNode*&) const
  0.00      0.00     0.00     1414     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::base() const
  0.00      0.00     0.00     1149     0.00     0.00  std::remove_reference<HCNodePtrComp&>::type&& std::move<HCNodePtrComp&>(HCNodePtrComp&)
  0.00      0.00     0.00     1012     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >)
  0.00      0.00     0.00      699     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::difference_type __gnu_cxx::operator-<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > const&, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > const&)
  0.00      0.00     0.00      612     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*&)
  0.00      0.00     0.00      470     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::end()
  0.00      0.00     0.00      470     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::begin()
  0.00      0.00     0.00      470     0.00     0.00  HCNode* const& std::forward<HCNode* const&>(std::remove_reference<HCNode* const&>::type&)
  0.00      0.00     0.00      460     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>&)
  0.00      0.00     0.00      372     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.00     0.00      257     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00      231     0.00     0.00  HCNode::HCNode(int, unsigned char)
  0.00      0.00     0.00      231     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode* const*, std::vector<HCNode*, std::allocator<HCNode*> > >::__normal_iterator(HCNode* const* const&)
